2015-06-26 22:32:05.688 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=0, code=0, sequenceid=0, contentlen=0, content=[], checksum=0]
2015-06-26 22:32:05.696 INFO com.skywin.obd.model.ModelMapper[ModelMapper.java:124] can't find mapper file!
2015-06-26 22:32:06.029 INFO com.alibaba.druid.pool.DruidDataSource[DruidDataSource.java:655] {dataSource-1} inited
2015-06-26 22:32:06.052 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=0, code=0, sequenceid=0, contentlen=0, content=[], checksum=0]
2015-06-26 22:59:05.381 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=0, code=0, sequenceid=0, contentlen=0, content=[], checksum=0]
2015-06-26 22:59:05.432 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=0, code=0, sequenceid=0, contentlen=0, content=[], checksum=0]
2015-06-26 23:17:20.881 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=0, code=0, sequenceid=0, contentlen=0, content=[], checksum=0]
2015-06-26 23:17:20.883 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=0, code=0, sequenceid=0, contentlen=0, content=[], checksum=0]
2015-06-26 23:17:30.944 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[01], checksum=0]
2015-06-26 23:17:30.944 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[99 CC], checksum=0]
2015-06-26 23:17:33.990 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[01], checksum=0]
2015-06-26 23:17:33.990 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[6E 88], checksum=0]
2015-06-26 23:17:38.021 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[02], checksum=0]
2015-06-26 23:17:38.021 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[50 A4], checksum=0]
2015-06-26 23:17:42.044 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[04], checksum=0]
2015-06-26 23:17:42.044 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[52 FE], checksum=0]
2015-06-26 23:18:03.083 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[04], checksum=0]
2015-06-26 23:18:03.084 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[06 08], checksum=0]
2015-06-26 23:18:06.150 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[05], checksum=0]
2015-06-26 23:18:06.150 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[85 3B], checksum=0]
2015-06-26 23:18:09.174 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[06], checksum=0]
2015-06-26 23:18:09.175 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[AC 49], checksum=0]
2015-06-26 23:18:12.202 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[07], checksum=0]
2015-06-26 23:18:12.202 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:83] send: ProtocolEntity [side=1, srcdeviceid=1, destdeviceid=0, code=1, sequenceid=0, contentlen=2, content=[8D B4], checksum=0]
2015-06-26 23:18:15.226 INFO com.skywin.obd.net.ObdProtocolHandler[ObdProtocolHandler.java:56] recv: ProtocolEntity [side=1, srcdeviceid=0, destdeviceid=1, code=1, sequenceid=0, contentlen=1, content=[08], checksum=0]
